open_time,open,high,low,close,volume,close_time,returns
2020-10-23 11:00:00+03:00,5.56,5.631,5.555,5.6,136395.38,2020-10-23 11:59:59.999000+03:00,0.0068320747932397
2020-10-23 12:00:00+03:00,5.601,5.623,5.595,5.6,74246.48,2020-10-23 12:59:59.999000+03:00,0.0
2020-10-23 13:00:00+03:00,5.6,5.642,5.6,5.632,136725.64,2020-10-23 13:59:59.999000+03:00,0.0057142857142857
2020-10-23 14:00:00+03:00,5.629,5.659,5.611,5.619,158584.06,2020-10-23 14:59:59.999000+03:00,-0.0023082386363636
2020-10-23 15:00:00+03:00,5.619,5.627,5.58,5.608,92049.68,2020-10-23 15:59:59.999000+03:00,-0.0019576437088449
2020-10-23 16:00:00+03:00,5.606,5.617,5.566,5.572,72641.53,2020-10-23 16:59:59.999000+03:00,-0.00641940085592
2020-10-23 17:00:00+03:00,5.571,5.584,5.52,5.526,104596.94,2020-10-23 17:59:59.999000+03:00,-0.0082555635319454
2020-10-23 18:00:00+03:00,5.524,5.562,5.497,5.532,110234.36,2020-10-23 18:59:59.999000+03:00,0.001085776330076
2020-10-23 19:00:00+03:00,5.529,5.565,5.401,5.441,322290.97,2020-10-23 19:59:59.999000+03:00,-0.0164497469269704
2020-10-23 20:00:00+03:00,5.442,5.453,5.418,5.438,116089.09,2020-10-23 20:59:59.999000+03:00,-0.0005513692335967
2020-10-23 21:00:00+03:00,5.44,5.458,5.433,5.442,37673.64,2020-10-23 21:59:59.999000+03:00,0.0007355645457889
2020-10-23 22:00:00+03:00,5.444,5.468,5.435,5.468,32575.49,2020-10-23 22:59:59.999000+03:00,0.0047776552737963
2020-10-23 23:00:00+03:00,5.469,5.478,5.456,5.467,56103.59,2020-10-23 23:59:59.999000+03:00,-0.0001828822238478
2020-10-24 00:00:00+03:00,5.466,5.472,5.448,5.448,30008.83,2020-10-24 00:59:59.999000+03:00,-0.0034753978415948
2020-10-24 01:00:00+03:00,5.449,5.466,5.446,5.465,18744.37,2020-10-24 01:59:59.999000+03:00,0.0031204111600586
2020-10-24 02:00:00+03:00,5.466,5.493,5.466,5.492,38911.26,2020-10-24 02:59:59.999000+03:00,0.0049405306495882
2020-10-24 03:00:00+03:00,5.492,5.501,5.462,5.462,38308.5,2020-10-24 03:59:59.999000+03:00,-0.0054624908958486
2020-10-24 04:00:00+03:00,5.462,5.509,5.455,5.495,56759.17,2020-10-24 04:59:59.999000+03:00,0.0060417429513
2020-10-24 05:00:00+03:00,5.498,5.513,5.483,5.486,56927.45,2020-10-24 05:59:59.999000+03:00,-0.0016378525932666
2020-10-24 06:00:00+03:00,5.486,5.511,5.462,5.472,69303.1,2020-10-24 06:59:59.999000+03:00,-0.0025519504192488
2020-10-24 07:00:00+03:00,5.472,5.49,5.467,5.478,24979.91,2020-10-24 07:59:59.999000+03:00,0.0010964912280699
2020-10-24 08:00:00+03:00,5.477,5.49,5.468,5.49,28238.27,2020-10-24 08:59:59.999000+03:00,0.0021905805038335
2020-10-24 09:00:00+03:00,5.49,5.49,5.463,5.465,27626.23,2020-10-24 09:59:59.999000+03:00,-0.0045537340619308
2020-10-24 10:00:00+03:00,5.466,5.505,5.465,5.477,36877.22,2020-10-24 10:59:59.999000+03:00,0.0021957913998171
2020-10-24 11:00:00+03:00,5.478,5.499,5.463,5.475,30134.88,2020-10-24 11:59:59.999000+03:00,-0.0003651634106264
2020-10-24 12:00:00+03:00,5.475,5.481,5.46,5.477,32176.14,2020-10-24 12:59:59.999000+03:00,0.0003652968036531
2020-10-24 13:00:00+03:00,5.477,5.51,5.462,5.506,81909.04,2020-10-24 13:59:59.999000+03:00,0.0052948694540806
2020-10-24 14:00:00+03:00,5.503,5.509,5.481,5.489,34821.26,2020-10-24 14:59:59.999000+03:00,-0.0030875408645114
2020-10-24 15:00:00+03:00,5.49,5.495,5.465,5.469,49524.68,2020-10-24 15:59:59.999000+03:00,-0.00364365093824
2020-10-24 16:00:00+03:00,5.469,5.488,5.464,5.484,78122.43,2020-10-24 16:59:59.999000+03:00,0.0027427317608337
2020-10-24 17:00:00+03:00,5.485,5.546,5.47,5.546,305945.97,2020-10-24 17:59:59.999000+03:00,0.011305616338439
2020-10-24 18:00:00+03:00,5.546,5.572,5.515,5.521,109418.15,2020-10-24 18:59:59.999000+03:00,-0.0045077533357374
2020-10-24 19:00:00+03:00,5.52,5.529,5.486,5.506,90523.0,2020-10-24 19:59:59.999000+03:00,-0.0027168991124795
2020-10-24 20:00:00+03:00,5.508,5.529,5.506,5.526,54451.98,2020-10-24 20:59:59.999000+03:00,0.0036324010170722
2020-10-24 21:00:00+03:00,5.522,5.534,5.518,5.52,43835.2,2020-10-24 21:59:59.999000+03:00,-0.001085776330076
2020-10-24 22:00:00+03:00,5.52,5.531,5.511,5.52,17553.17,2020-10-24 22:59:59.999000+03:00,0.0
2020-10-24 23:00:00+03:00,5.523,5.523,5.509,5.516,15178.06,2020-10-24 23:59:59.999000+03:00,-0.0007246376811593
2020-10-25 00:00:00+03:00,5.516,5.517,5.497,5.5,20263.59,2020-10-25 00:59:59.999000+03:00,-0.0029006526468455
2020-10-25 01:00:00+03:00,5.501,5.543,5.496,5.531,53129.16,2020-10-25 01:59:59.999000+03:00,0.0056363636363636
2020-10-25 01:00:00+02:00,5.53,5.57,5.528,5.536,146578.69,2020-10-25 01:59:59.999000+02:00,0.0009039956608207
2020-10-25 02:00:00+02:00,5.536,5.561,5.503,5.533,137321.14,2020-10-25 02:59:59.999000+02:00,-0.0005419075144507
2020-10-25 03:00:00+02:00,5.532,5.545,5.518,5.536,26861.98,2020-10-25 03:59:59.999000+02:00,0.0005422013374298
2020-10-25 04:00:00+02:00,5.534,5.543,5.53,5.534,18732.23,2020-10-25 04:59:59.999000+02:00,-0.0003612716763005
2020-10-25 05:00:00+02:00,5.534,5.577,5.506,5.559,128426.86,2020-10-25 05:59:59.999000+02:00,0.0045175280086737
